"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Camerún","CMR","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","51700","56500","58100","59400","59800","61100","62600","63400","65100","68100","68800","64700","60400","57600","55736","66280","70397","70167","68867","81214","81045","79761","83012","77277","75299","73969","71980","70636","70799","69829","70742","69318","71975","65257","79020","94131","98529","102000","106800","110000","112109","121031","130135","117801","129000","142345","137232","138612","155300","172000","181000","190000","199000","207000","215000","224000","233190","266737","281945","296953.82","281630","290330","299035","",
"Congo, República Democrática del","COD","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","77000","75000","77000","69500","75000","81000","84000","93400","127700","149300","136600","123900","124200","156900","128810","113380","117858","107000","108706","115182","102415","102640","100700","102000","148219","148276","155825","161577","161841","166240","162700","165850","187840","196789","155897","158627","163010","162211","178041","208448","244619","231378","237690","234375","235752","234814","234562","234252","231447","228363","224491","221250","218000","227414","229612","230726","237372","238000","238000","238000","217750","228665","","",
"Congo, República del","COG","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","11000","11000","12600","12500","13600","14000","14200","13600","14100","13900","14399","16010","24526","22200","23718","23103","26869","24364","26297","29630","31965","29665","30835","35207","32807","29878","31992","37731","41800","45597","47970","45334","39992","46748","42664","45776","45473","38082","42955","43509","45958","48830","51927","53865","57024","54616","59082","59216","54104","61218","65186","73233","81150","73326","73536","69349","86834","95035","98734","70349.84","70637.35","69419","64134.19","",
"Colombia","COL","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","29800","43300","52000","47700","50300","53500","59200","86200","83600","57600","54500","37696","110687","105282","62387","66527","75043","63881","79467","63246","76000","94431","71042","57104","78514","70775.32","82474.48","84450.34","86616.34","92059.3","119674","103535","144248","124969.5","99768.5","131006","130099","148053","134616","127426","137061","146164","124799","130147","112492","121002","103997","121655","112892","106450","81168","87491","72004","70706","92879","81951","69381","88261.5","81581","112072.5","91922.46","130030.15","107570","",
"Comoras","COM","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","817","817","917","917","917","917","875","875","1235","1235","1661","2469","2878","3286","4046","4755","4863","5620","6026","6485","6951","7459","7974","8493","8999","9515","9970","10378","10913","10751","11251","11551","12590","12757","13537","13109","12696","12576","12317","11818","12003","11425","11178","11053","10987","10738","10464","14401","22714","44745","63447","38180","36295.23","43732.21","9256.9","11762.7","20157.48","17515.85","13772.42","17593.85","20770.51","19396.25","18933.33","",
"Cabo Verde","CPV","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","1600","1600","1500","2000","2500","3500","4000","5900","4900","4000","5181","4153","4078","8333","3428","3900","3800","6000","7000","7476","8837","14730","12453","11863","10730","10190","7335","7312","6387","8614","6579.04","7378.1","6573","7000","8256","8495","9255","9705","9424","10360","10586","8676","8851","8136","11031","21931","19826","20127","21119","19213","21412","23077","20943.45","35983.8","35677.41","39393.28","27938.73","18617","26593.23","17190.32","19485.25","11623.87","7758.94","",
"Costa Rica","CRI","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","2200","2400","2500","2400","3600","3400","3300","3500","5000","4100","8100","10560","12550","12360","15554","16172","14197","15392","22642","20766","16426","16010","12567","11108","16390","20383","22951","16970","16670","17030","18370","16043","16010","16172","17134","17441","24335","26696","24620","28029","35163","34016","33045","29556","20000","21489","19195","19751","21405","19814","17916","13928","15045","18558","14746","14750","11776.61","12498.83","14422.57","17768.97","26679.37","29597.99","33668.7","",
"Estados pequeos del Caribe","CSS","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","31823","38713","38563","36463","38023","41573","45093","46373","47763","50563","53532","52182","56852","59650","63999","65490","61411","75413","76569","72775","69638","69296.79","69574.04","76872.15","78855.07","82656.82","78313.9","83190.03","94045.66","92376.61","99159.18","106117.54","110921.54","114526.94","135081.02","131746.48","135359.15","156487.59","193149.69","204115","172356","200417","269579","231637","291488","284122","380822","499244","541446","490851.83","624329.44","519998.65","349907.11","233991.7","346248.71","350706.97","317847.49","384729.29","350763.63","332438.86","300657.05","302094.8","317996.21","",
"Cuba","CUB","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","31200","30600","35000","35612","37165","41080","43826","65955","66170","78699","104150","126650","139141","149707","163819","143013","193180","183439","211486","151711","184141","161857","191517","194349","195475.3","215225.9","239932.3","209195.6","225323.1","185846.9","179893.8","162800.6","100966.8","84934.3","77701.4","80066.2","84206.8","76801.5","58738.1","60645.1","68486","54708","32586","34088","32194","28234","27587","29485","28714","28892","23996","24106","22320","22103","25056","25634","23574","21548","22621","18546.1","20186.2","18052.8","14534.5","",
"Curacao","CUW","Producción de la pesca de captura (toneladas métricas)","ER.FSH.CAPT.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22074","25071.89","26196.68","28495.27","30158.69","35534.16","32625.63","37910.53","29213.84","23051.82","25027.24","8826.8","",
